### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]
    19.40000        0.1365874E-002  -0.5493133E-002  -0.1637423E-003  -0.8177835E-003  -0.1667423E-003  -0.7830323E-003
    19.50000        0.1349275E-002  -0.5576050E-002  -0.1682498E-003  -0.8406336E-003  -0.1711192E-003  -0.8057346E-003
    19.60000        0.1332220E-002  -0.5661277E-002  -0.1728698E-003  -0.8639995E-003  -0.1755969E-003  -0.8289375E-003
    19.70000        0.1314697E-002  -0.5748867E-002  -0.1776077E-003  -0.8878880E-003  -0.1801804E-003  -0.8526463E-003
    19.80000        0.1296695E-002  -0.5838872E-002  -0.1824697E-003  -0.9123059E-003  -0.1848751E-003  -0.8768665E-003
    19.90000        0.1278199E-002  -0.5931346E-002  -0.1874624E-003  -0.9372603E-003  -0.1896870E-003  -0.9016037E-003
    20.00000        0.1259198E-002  -0.6026343E-002  -0.1925929E-003  -0.9627586E-003  -0.1946223E-003  -0.9268634E-003
    20.10000        0.1239676E-002  -0.6123916E-002  -0.1978688E-003  -0.9888083E-003  -0.1996879E-003  -0.9526515E-003
    20.20000        0.1219619E-002  -0.6224123E-002  -0.2032979E-003  -0.1015417E-002  -0.2048911E-003  -0.9789741E-003
    20.30000        0.1199011E-002  -0.6327019E-002  -0.2088889E-003  -0.1042593E-002  -0.2102395E-003  -0.1005837E-002
    20.40000        0.1177835E-002  -0.6432661E-002  -0.2146506E-003  -0.1070345E-002  -0.2157414E-003  -0.1033247E-002
    20.50000        0.1156075E-002  -0.6541107E-002  -0.2205925E-003  -0.1098680E-002  -0.2214053E-003  -0.1061210E-002
